product_hs92_code,product_name_short,product_name,pci,density,effort,efficiency,cog,strategic_score,export_value,import_value
3207,Prepared pigments,"Prepared pigments, prepared opacifiers and prepared colors, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the form of p",0.183,0.16100000000000003,0.839,0.21785714285714286,0.571,0.16180436861920283,40812059,66382927
0401,Milk,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter",0.026,0.18300000000000005,0.817,0.03178484107579462,0.465,0.16129306289573175,11149137,17959926
7104,Synthetic precious stones,"Synthetic or reconstructed precious or semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",0.049,0.18100000000000005,0.819,0.059756097560975614,0.422,0.1598916873966867,438733,11920590
8705,Special purpose motor vehicles,"Special purpose motor vehicles, other than those principally designed for the transport of persons or goods (for example,wreckers, mobile cranes, fire fighting vehicles, concrete mixers, road sweepers, spraying vehicles, mobile workshops, mobile radiologi",0.063,0.16800000000000004,0.832,0.07563025210084034,0.736,0.1597866583094458,9613455,146050678
8435,Machines for wine and juice production,"Presses, crushers and similar machinery, used in the manufacture of wine, cider, fruit juices or similar beverages; parts thereof",0.162,0.15200000000000002,0.848,0.19081272084805656,0.839,0.15846485481346745,32668,2772987
7215,Other bars and rods of iron or nonalloy steel,Other bars and rods of iron or nonalloy steel,0.008,0.17600000000000005,0.824,0.009696969696969697,0.673,0.15841871316483933,784066,18972969
9613,Cigarette lighters,"Cigarette lighters and other lighters, whether or not mechanical or electrical, and parts thereof other than flints and wicks",0.099,0.17000000000000004,0.83,0.11913357400722023,0.535,0.1580953101471657,454949,78315530
8210,"Hand-operated appliances, food preparation, <10kg","Hand-operated mechanical appliances, weighing 10 kg or less, used in the preparation, conditioning or serving of food or drink, and base metal parts thereof",0.148,0.16100000000000003,0.839,0.17619047619047618,0.613,0.15726232615725966,74836,9220141
9306,Munitions of war,"Bombs, grenades, torpedoes,mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads",0.11,0.17200000000000004,0.828,0.13268998793727382,0.427,0.15709600628469314,8216602,96486964
9015,Surveying instruments,"Surveying (including photogrammetrical surveying), hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances, excluding compasses; rangefinders; parts and accessories thereof",0.129,0.16200000000000003,0.838,0.15375446960667463,0.644,0.1570687747559695,11899147,110564851
