rank,country,eci
127,TKM,0.28084427616537466
128,NPL,0.2807550000919795
129,PNG,0.2806940616261091
130,UZB,0.2806834903877013
131,PAN,0.28064444739745464
132,MMR,0.28061977202551414
133,KIR,0.2806110985485835
134,ZAF,0.280567022685933
135,GHA,0.28047749522216464
136,EGY,0.2804443684262101
137,DOM,0.28043056679884537
138,MKD,0.28039044323899004
139,LAO,0.280280300301411
140,ARG,0.2801288872264662
141,BHS,0.28012311566592474
142,UGA,0.28008696392200233
143,DZA,0.2800533083240213
144,TZA,0.27999227716782876
145,TLS,0.27990664944089644
146,ATG,0.27971390455160106
147,JOR,0.2796964491758073
148,MDV,0.27958606682064635
149,NZL,0.2795522940566494
150,KEN,0.27955117588489964
151,BWA,0.27946619627506564
152,BFA,0.2792170830671609
153,CRI,0.2792152244344068
154,SUR,0.27910767423808264
155,NER,0.2789509311225751
156,CPV,0.2788398293259249
157,MOZ,0.27881729403611
158,CMR,0.27846365828943664
159,NAM,0.27816009732616814
160,MAR,0.2779207109785946
161,BEN,0.27785677776749157
162,ARM,0.2777575939270631
163,VEN,0.2777463544839895
164,ZWE,0.27774549513753827
165,LKA,0.2776694274069905
166,ATF,0.2775348822382803
167,BLM,0.2774598934714262
168,SYC,0.2774549571075961
169,NGA,0.2774430227620324
170,ALB,0.2774239423051734
171,TTO,0.27736111646265016
172,MLI,0.277358227851489
173,NIC,0.27723690966554776
174,FLK,0.27721635670653066
175,PER,0.27711086660091266
176,GMB,0.27708053884888006
177,IRN,0.2770395085332938
178,IRQ,0.27686322963804316
179,GRL,0.2764944998816724
180,LBN,0.27634752709815114
181,BLZ,0.2763048101952648
182,PYF,0.2762550001580571
183,PLW,0.2762383394649582
184,SEN,0.2762159341843662
185,MDG,0.27606689170041576
186,SGS,0.27604358339387935
187,SDN,0.27602127278746685
188,TJK,0.2760196113557129
189,CYP,0.27592440994796735
190,BMU,0.2750714400631243
191,FJI,0.27492785284390414
192,CHL,0.2748975871230399
193,TON,0.2740996446072461
194,GEO,0.274008272097113
195,ECU,0.2738817220757132
196,SLB,0.27365101883414256
197,SOM,0.27342049837119403
198,PSE,0.2732482577505328
199,JAM,0.2728309538677532
200,DMA,0.2727698943659819
201,FSM,0.2721735627825944
202,CUB,0.27205097514035875
203,COK,0.27197400265834576
204,FRO,0.27148099276837023
205,SYR,0.27048724189409673
206,VUT,0.2692627023725984
207,AZE,0.2682116241020611
208,BTN,0.2671909572919235
209,MRT,0.26562196798184573
210,YEM,0.26276166932388184
211,GNB,0.26264684548380535
212,AFG,0.2573512782301492
213,KNA,-1.0664492954934521
