rank,product_hs92_code,product_name_short,pci
778,8308,,0.622
779,7606,,0.62
780,7606,Aluminum plates > 0.2 mm,0.62
781,3903,,0.619
782,2618,,0.619
783,2618,Granulated iron or steel slag,0.619
784,3903,Polymers of styrene,0.619
785,4502,"Natural cork, debacked",0.619
786,4502,,0.619
787,1210,Hop cones,0.614
788,1210,,0.614
789,3913,,0.612
790,3913,Natural polymers,0.612
791,9405,,0.609
792,9405,Lamps,0.609
793,9613,Cigarette lighters,0.608
794,9613,,0.608
795,3811,Anti-knock,0.607
796,3811,,0.607
797,8305,,0.606
798,8305,"Paper clips and similar office articles, of metal",0.606
799,8484,Gaskets and similar joints of metal sheeting,0.603
800,3206,,0.603
801,3206,Other coloring matter,0.603
802,8484,,0.603
803,8303,,0.602
804,9302,,0.602
805,9302,Revolvers and pistols,0.602
806,8303,Safes,0.602
807,7218,Stainless steel in ingots,0.602
808,7218,,0.602
809,3912,Cellulose n.e.c.,0.597
810,3912,,0.597
811,7906,"Zinc tubes, pipes and tube or pipe fittings",0.596
812,7906,,0.596
813,5507,,0.595
814,5507,"Artificial staple fibers, processed",0.595
815,8418,,0.594
816,7616,Other articles of aluminum,0.594
817,7616,,0.594
818,8418,"Refrigerators, freezers",0.594
819,6814,Mica articles,0.593
820,6814,,0.593
821,7907,,0.592
822,7907,Other articles of zinc,0.592
823,8701,,0.589
824,8701,Tractors,0.589
825,3905,Polymers of vinyl acetate,0.585
826,6906,,0.585
827,6906,Ceramic pipes,0.585
828,3905,,0.585
829,9004,,0.583
830,9004,Glasses,0.583
831,7227,,0.582
832,7227,Bars of other alloy steel,0.582
833,2849,Carbides,0.579
834,2849,,0.579
835,502,,0.576
836,0502,Brushmaking hair,0.576
837,3804,Residual lyes,0.575
838,3804,,0.575
839,8203,"Pliers, pincers and other metal handtools",0.574
840,8203,,0.574
841,1109,Wheat gluten,0.572
842,1109,,0.572
843,8450,,0.569
844,8450,Household- or laundry-type washing machines,0.569
845,3906,Acrylic polymers,0.566
846,2902,,0.566
847,2902,Cyclic hydrocarbons,0.566
848,3906,,0.566
849,7307,,0.565
850,7307,Tube or pipe fittings of iron or steel,0.565
851,8541,,0.565
852,8541,Semiconductor devices,0.565
853,4009,Vulcanized rubber tubes,0.564
854,4009,,0.564
855,5803,Gauze,0.563
856,5803,,0.563
857,5106,,0.561
858,5106,"Yarn of carded wool, not for retail sale",0.561
859,8214,Other cutlery,0.561
860,8214,,0.561
861,203,,0.559
862,0203,Pork,0.559
863,2808,,0.558
864,2808,Sulfonitric acids,0.558
865,7607,Aluminum foil < 0.2 mm,0.557
866,9506,,0.557
867,7607,,0.557
868,9506,Sports equipment,0.557
869,7015,Clock or watch glasses and similar glasses,0.554
870,7015,,0.554
871,7905,,0.553
872,7008,Multiple-walled insulating glass,0.553
873,7008,,0.553
874,7905,Zinc plates and foil,0.553
875,5603,,0.551
876,5603,Nonwoven textiles,0.551
877,7418,,0.547
878,7418,Household articles of copper,0.547
879,4903,Children's books,0.546
880,8442,,0.546
881,4903,,0.546
882,8442,Machinery for making printing components,0.546
883,2621,Other slag and ash,0.543
884,8709,,0.543
885,8709,Work trucks,0.543
886,2621,,0.543
887,8413,Pumps for liquids,0.541
888,8413,,0.541
889,9508,,0.534
890,9508,Fairground amusements,0.534
891,8423,,0.53
892,8423,Weighing machinery,0.53
893,3816,Refractory cements,0.525
894,3816,,0.525
895,6815,Articles of stone or of other mineral substances,0.523
896,6815,,0.523
897,9101,,0.521
898,9101,Watches with precious metal,0.521
899,2823,,0.519
900,2823,Titanium oxides,0.519
901,8212,Razors,0.516
902,8212,,0.516
903,6702,,0.514
904,6702,Artificial flowers,0.514
905,2942,,0.512
906,2942,Other organic compounds,0.512
907,7019,,0.507
908,7019,Glass fibers,0.507
909,9616,,0.507
910,9616,Scent sprays,0.507
911,8714,Parts of motorcycles or wheelchairs,0.506
912,8714,,0.506
913,8411,,0.505
914,8411,Gas turbines,0.505
915,8445,Machines for preparing textile fibers,0.505
916,8445,,0.505
917,8707,,0.504
918,8707,Vehicle Bodies,0.504
919,7315,Chain of iron or steel,0.503
920,7315,,0.503
921,5002,Raw silk,0.502
922,7904,Zinx bars and wire,0.5
923,7904,,0.5
924,0101,Horses,0.496
925,101,,0.496
926,2906,Cyclic alcohols,0.496
927,2906,,0.496
928,8215,,0.495
929,8215,Cutlery,0.495
930,7007,,0.495
931,7007,Safety glass,0.495
932,8528,Monitors and projectors,0.494
933,8528,,0.494
934,7118,,0.491
935,7118,Coin,0.491
936,8468,,0.49
937,8468,Machinery for soldering,0.49
938,3604,Fireworks,0.487
939,3604,,0.487
940,6808,Panels of vegetable fibers,0.48
941,6808,,0.48
942,4416,,0.478
943,4416,"Casks, barrels, etc. of wood",0.478
944,8513,,0.476
945,8513,Portable electric lamps,0.476
946,2819,Chromium oxides and hydroxides,0.474
947,2819,,0.474
948,7205,Powders of iron or steel,0.473
949,7205,,0.473
950,3215,,0.472
951,3215,Ink,0.472
