product_hs92_code,product_name_short,export_value,export_rca,pci,cog
2505,Natural sands,54818104,1.872391,-0.838,0.0
9209,Parts of musical instruments,54702671,3.139929,0.982,0.0
1212,Seaweeds & edible vegetable products,54356884,3.017613,-1.672,-0.0
2517,Gravel,53841558,1.556262,-0.593,0.0
1301,Lac,53153618,5.182209,-2.393,-0.0
6216,Gloves,52828761,3.754092,-0.769,0.0
6405,Other footwear,50876904,1.198954,-0.742,0.0
3805,Turpentines,50391831,10.659433,-0.592,0.0
6209,Babies' garments,49262850,2.045666,-1.118,0.0
9609,"Pencils, crayons, pastels, etc.",48632785,2.18389,-0.142,0.0
7114,Goldsmith and silversmith wares,46531554,3.418319,0.436,0.0
4706,Pulps of recovered paper fibers,42018640,1.532384,-0.236,0.0
4816,Other carbon paper,40534626,6.863667,0.177,0.0
4414,Wooden frames,37745055,3.309904,0.314,0.0
2706,"Tar distilled from coal, lignite etc.",37511998,4.01651,0.066,0.0
5403,Artificial filament yarn,35834286,2.013713,0.915,0.0
3817,Mixed alkylbenzenes,34762736,1.291866,0.245,0.0
5210,Woven fabrics of cotton of < 85% weighing < 200 g/m2,33863427,1.666463,-0.694,0.0
1203,Copra,33305414,31.769703,-1.753,-0.0
2817,Zinc oxide or peroxide,32411228,1.93942,0.066,0.0
5404,"Synthetic monofilament >67 dtex, thickness < 1mm",31535987,1.786185,0.576,0.0
4806,Transparent paper,31270995,1.259443,1.257,0.0
4419,Wooden kitchenware,25458023,1.056745,-0.344,0.0
1106,Flour of dried legumes,24479832,2.233734,-1.566,0.0
8478,Machinery for preparing tobacco,24049403,1.502116,-0.09,0.0
5514,Woven fabrics of < 85% synthetic staple fibers weighing > 170 g/m2,23738929,1.021101,-0.738,0.0
4107,Bovine leather further prepared,23256661,2.725819,-0.639,0.0
6207,Men's undergarments,21229525,1.28356,-1.32,-0.0
6811,Asbestos-cement or cellulose fiber-cement,20353650,1.099446,-0.016,0.0
0508,Coral and shells,19975796,9.188906,-1.399,0.0
8003,Tin bars and wire,18602773,3.760222,0.44,0.0
9612,Typewriter ribbons and ink pads,18011667,1.077007,0.705,0.0
9602,Worked vegetable or mineral carving material,16694940,1.226148,-0.24,0.0
5203,"Cotton, carded or combed",15979454,5.693365,-1.189,-0.0
0905,Vanilla,14633056,2.325238,-1.462,0.0
2618,Granulated iron or steel slag,14099335,1.254737,-0.004,0.0
9106,Apparatus for measuring intervals of time,14090983,3.191901,0.547,0.0
7903,Zinc powders,14032721,1.922554,-0.776,0.0
2308,Vegetable materials for animal feeding,13660642,1.00353,-0.902,0.0
2847,Hydrogen peroxide,13258545,1.133322,0.476,0.0
4601,Products of plaiting materials,12899879,1.994457,-1.343,0.0
4105,Tanned sheepskins,12714179,1.465629,-1.934,-0.0
0208,Other meat,12606679,1.378228,0.097,0.0
2619,Iron or steel slag,10208108,1.524909,-0.922,0.0
7902,Zinc waste and scrap,8938051,1.310587,-0.897,0.0
2513,Natural abrasives,8833991,2.069611,-0.914,0.0
4822,"Bobbins, spools, cops of paper",8810087,1.405012,0.282,0.0
1401,Vegetable materials used for plaiting,8562573,3.607044,-1.116,0.0
5202,Cotton waste,7975033,1.345256,-1.8,-0.0
7206,Iron and nonalloy steel,7688120,1.039989,-0.702,0.0
4413,Densified wood,7436832,1.294436,-0.444,0.0
4003,Reclaimed rubber,6887503,1.333614,0.014,0.0
4106,Tanned skins of other animals,6267342,1.587566,-1.71,0.0
1903,Tapioca,6185695,2.464733,-0.957,0.0
4111,Composition leather,5180531,2.36957,-0.271,0.0
3605,Matches,4957323,2.07643,-1.326,-0.0
1521,Vegetable waxes and beeswax,4679746,1.276945,-1.358,-0.0
9601,Worked animal carving material,3905352,2.838549,-0.965,0.0
4905,Maps,3346620,2.050517,0.228,0.0
7109,Gold clad metals,952931,1.105273,0.782,0.0
4110,Waste of leather,346875,1.191368,-0.963,0.0
